tempo_s,V_RMS_A,V_RMS_B,V_RMS_C,I_RMS_A,I_RMS_B,I_RMS_C
0.0,26823.21851204392,26169.795127747017,26680.663236562476,13.42094493349003,11.371290932575192,10.167115970849713
5e-05,26826.577557274693,26172.29967155796,26678.360960609647,13.419664051962094,11.372684031190007,10.167090986236134
0.0001,26831.294392224452,26173.53784158737,26674.04360433498,13.417111356483407,11.375477176878753,10.167081272999944
0.00015000000000000001,26840.121767729866,26176.938720692644,26666.70290442177,13.413272142323875,11.379660746718434,10.167028802116059
0.0002,26850.70350049059,26179.747162160893,26657.022924762805,13.408151845062621,11.385222103368283,10.166918494495095
0.00025,26863.352615708918,26180.765537833136,26644.55867751136,13.401755474001721,11.392161554497756,10.166777126038685
0.00030000000000000003,26879.317438815124,26181.653840591556,26628.685169950408,13.39407931746023,11.400458298030454,10.166556205884572
0.00035,26896.58143041006,26181.736831646722,26610.643347095847,13.385141158755077,11.410092262795422,10.166267762814414
0.0004,26916.629577402015,26179.140068309945,26588.61174165594,13.374953747158003,11.421058178858257,10.165958805029652
0.00045000000000000004,26939.421824349287,26178.81363466729,26564.50981757471,13.363531915169963,11.433323486441802,10.1655997930161
0.0005,26963.542951939653,26177.879325402075,26538.503807448073,13.350895004629116,11.446863054367432,10.165206412658963
0.00055,26991.807738817817,26178.710449111426,26508.950207075664,13.337059377720916,11.461675362842142,10.16483034545582
0.0006000000000000001,27021.19125016697,26179.862831055572,26478.25264309574,13.322045167978112,11.477721196563923,10.1644374679515
0.0006500000000000001,27053.70605878236,26184.204012364768,26446.11387234549,13.305860656196476,11.494978406561366,10.164020107348454
0.0007,27088.820314625234,26187.14488983696,26410.270321095875,13.288523417802752,11.513434366523875,10.163600075355895
0.00075,27125.166323318575,26191.877027018094,26374.520323847057,13.270048981725578,11.533041568750594,10.163128747573692
0.0008,27164.430477774564,26195.32564074415,26335.243169970465,13.25044423804961,11.553771848148884,10.162591909577113
0.0008500000000000001,27205.562517284092,26198.387043031817,26292.77894680462,13.229743151736946,11.575598672689628,10.162025018885087
0.0009000000000000001,27247.027045873707,26198.44138667722,26249.520315888487,13.207965468098175,11.598456954163971,10.161385028554799
0.00095,27292.3648227531,26201.112764641068,26202.47768271897,13.185132294603632,11.62231596026864,10.160676945490128
0.001,27337.529909928584,26199.399046684783,26152.129076479036,13.161292729594537,11.647138053860637,10.159958393278762
0.0010500000000000002,27385.33511440061,26200.650016942338,26101.665545489657,13.136470263022161,11.672868640781688,10.159208389016609
0.0011,27435.041468945372,26201.29140113367,26047.0259815315,13.110699204634894,11.699476504006007,10.158433602617214
0.00115,27485.884902183832,26203.78012615924,25991.956297278037,13.084020839874674,11.726927463698667,10.15767919868328
0.0012000000000000001,27538.937083306242,26206.444240063996,25936.225302460516,13.05644986502383,11.755174558234875,10.156898735991101
0.00125,27593.954778355142,26212.862352490672,25878.13065225646,13.028022432984796,11.78419056529338,10.156091280120396
0.0013000000000000002,27649.251832376623,26215.298337385844,25819.015612556712,12.998768792547942,11.813930051632225,10.155279791573928
0.00135,27707.367294668747,26222.10369210097,25759.89212614465,12.968708709179793,11.844342383019734,10.154408481738248
0.0014,27764.830752705246,26225.223251491523,25697.688096715556,12.93788217762648,11.875376357987937,10.153468685954433
0.0014500000000000001,27824.66866010592,26229.033582550062,25634.188285961092,12.906324333122226,11.906982664458042,10.152498064212299
0.0015,27884.308718187654,26230.31791694353,25568.682403814302,12.874081978009345,11.939098159339224,10.151465315535702
0.0015500000000000002,27944.795740884743,26233.189567256857,25501.47879456571,12.841202970963185,11.971667245237073,10.150387590084868
0.0016,28006.459952698773,26232.291286713407,25431.34568405764,12.807732449876946,12.00464197780316,10.149304509818634
0.00165,28068.507150602287,26235.786353257117,25361.70238006736,12.773726773391983,12.037971752548918,10.148198033971566
0.0017000000000000001,28131.045334589144,26236.64138835922,25290.050123663645,12.739223286366766,12.07161131950995,10.14707803334223
0.00175,28195.8070068799,26241.084120960528,25217.21314575752,12.704270408360468,12.105533616875345,10.145979586488497
0.0018000000000000002,28258.84451312733,26243.775204173162,25146.155787465144,12.668911222771452,12.139681482963901,10.144859373619537
0.00185,28324.787692440375,26250.85426216153,25074.837808822005,12.633165676586554,12.174020009340932,10.143704902885782
0.0019,28389.755178882493,26254.20698140113,25001.022111013033,12.59708912978653,12.208513494112486,10.142534993770722
0.0019500000000000001,28454.638025926542,26260.37137565192,24930.50950765245,12.56072115733747,12.243094104921155,10.141316211377717
0.002,28520.23742327962,26263.38791855052,24856.80592113061,12.524096280371635,12.277711880464887,10.140038581182651
0.00205,28585.097922821118,26267.76811135353,24781.924166022578,12.48728716229402,12.312318940227062,10.13873775557555
0.0021000000000000003,28648.974378060986,26268.56116305842,24708.614989350724,12.45033876807082,12.346838225363252,10.137389595682636
0.00215,28714.253293149606,26272.67473890018,24631.8653172797,12.413311975076171,12.38123542646305,10.136012170512773
0.0022,28777.131744720664,26272.010310909995,24553.94549967823,12.376282430650061,12.41545888484534,10.13464884488122
0.0022500000000000003,28841.46922658205,26275.84488740008,24479.889065313193,12.339287845675583,12.44945515504486,10.133277524383447
0.0023,28904.584770521087,26277.63243822636,24402.441986887952,12.302387634867774,12.483203224735602,10.131897617372044
0.00235,28967.87155297679,26282.080828406095,24327.480617274232,12.265631768854613,12.51666661569054,10.130539158183998
0.0024000000000000002,29030.563321023437,26285.18053307664,24255.21004930405,12.229052149305435,12.549803168227077,10.129163230073122
0.00245,29092.62735439378,26291.522581274065,24182.15462045546,12.192700195509131,12.582589841426115,10.127765438661095
0.0025,29153.84132341872,26293.895786347362,24110.817288481194,12.156612265012308,12.614973199666863,10.126356530550241
0.00255,29214.36142652546,26300.156066293042,24042.12640210191,12.120839802142285,12.646913623954116,10.124906449220497
0.0026000000000000003,29272.50187042661,26302.207468781064,23970.89067961267,12.085442189892294,12.678366434736768,10.123420607281203
