Curva_Teste;R_Montante(A);R_Jusante(A);Pickup_M;Pickup_J;Tempo_Montante(s);Tempo_Jusante(s);Diferenca(s);1o_A_Atuar;2o_A_Atuar;Status_Coordenacao
IEC_C1;12.46;22.45;20;35;Inf;Inf;-;-;-;Nenhum Atuou
IEC_C2;12.46;22.45;20;35;Inf;Inf;-;-;-;Nenhum Atuou
IEC_C3;12.46;22.45;20;35;Inf;Inf;-;-;-;Nenhum Atuou
IEEE_U1;12.46;22.45;20;35;Inf;Inf;-;-;-;Nenhum Atuou
IEEE_U2;12.46;22.45;20;35;Inf;Inf;-;-;-;Nenhum Atuou
IEEE_U3;12.46;22.45;20;35;Inf;Inf;-;-;-;Nenhum Atuou
