arquivo,tipo_sistema,com_regulador,sem_aterramento,condicao_aterramento,tipo_falta,local_falta,m1,t_falta,800_I_pico_A,800_I_pico_B,800_I_pico_C,800_I_pico_max,800_V_min,800_V_max,818_I_pico_A,818_I_pico_B,818_I_pico_C,818_I_pico_max,818_V_min,818_V_max,820_I_pico_A,820_I_pico_B,820_I_pico_C,820_I_pico_max,820_V_min,820_V_max,822_I_pico_A,822_I_pico_B,822_I_pico_C,822_I_pico_max,822_V_min,822_V_max,800_I0,800_I1,800_I2,818_I0,818_I1,818_I2,820_I0,820_I1,820_I2,822_I0,822_I1,822_I2
MRT_SR__A_818_1_-_Falta_A_py,MRT,True,False,COM Aterramento,A-G,Barra 818.1,0.5,0.0,200.7136718222028,1.734708651544473,1.7099813495287965,200.7136718222028,1249.833360988411,18600.086758416346,201.26614632874438,6.732742590003597e-14,6.732742590003597e-14,201.26614632874438,0.0,4187.372732226102,10.632923956357592,6.732742590003597e-14,6.732742590003597e-14,10.632923956357592,0.0,4273.7429304566895,5.316468461208783,6.732742590003597e-14,6.732742590003597e-14,5.316468461208783,0.0,4063.80265775203,,,,,,,,,,,,
MRT_SR__A_818_2_-_Falta_A_py,MRT,True,False,COM Aterramento,A-G,Barra 818.2,0.5,5e-05,226.4750420352204,1.7458829777941227,1.7111304279702848,226.4750420352204,1436.3631998073959,18599.15661034021,226.97854246511048,4.410184749755783e-14,4.410184749755783e-14,226.97854246511048,0.0,4847.249011412902,10.658856679615301,4.410184749755783e-14,4.410184749755783e-14,10.658856679615301,0.0,3914.6995810887697,5.32908327221213,4.410184749755783e-14,4.410184749755783e-14,5.32908327221213,0.0,3808.3771204288073,,,,,,,,,,,,
MRT_SR__A_820_-_Falta_A_py,MRT,True,False,COM Aterramento,A-G,Barra 820,0.5,0.0,200.7136718222028,1.734708651544473,1.7099813495287965,200.7136718222028,1249.833360988411,18600.086758416346,201.26614632874438,6.732742590003597e-14,6.732742590003597e-14,201.26614632874438,0.0,4187.372732226102,199.69518341327105,6.732742590003597e-14,6.732742590003597e-14,199.69518341327105,0.0,4273.7429304566895,5.316468461208783,6.732742590003597e-14,6.732742590003597e-14,5.316468461208783,0.0,4063.80265775203,,,,,,,,,,,,
MRT_SR__A_822_-_Falta_A_py,MRT,True,False,COM Aterramento,A-G,Barra 822,0.5,5e-05,194.62040957352033,1.7320518797685767,1.7112264173982894,194.62040957352033,1204.7269436992376,18600.148570121866,195.18486014493152,2.219651141280043e-14,2.219651141280043e-14,195.18486014493152,0.0,3956.919052124423,193.57001939098234,2.219651141280043e-14,2.219651141280043e-14,193.57001939098234,0.0,3933.6517615966136,190.70217730244434,2.219651141280043e-14,2.219651141280043e-14,190.70217730244434,0.0,4158.07859711942,,,,,,,,,,,,
MRT_SR__Sem_Falta_py,MRT,True,False,COM Aterramento,Normal,Indefinido,0.5,5e-05,13.906020576763199,2.4980777987425213,2.696483454115442,13.906020576763199,302.1593207546127,18604.491334330552,14.757371141866221,3.195590009034602e-15,3.195590009034602e-15,14.757371141866221,0.0,1509.249964196115,11.827729006841507,3.195590009034602e-15,3.195590009034602e-15,11.827729006841507,0.0,2804.126054231028,5.9342400087132,3.195590009034602e-15,3.195590009034602e-15,5.9342400087132,0.0,3065.490633887371,,,,,,,,,,,,
MRT_SR_sem_terra__A_818_1_-_Falta_A_py,MRT,True,True,SEM Aterramento,A-G,Barra 818.1,0.5,0.0,3.6532489848103165,2.4907297126943777,2.6061951083365447,3.6532489848103165,333.16529441101153,18535.88235577875,3.3535312539407927,2.227287816745026e-15,2.227287816745026e-15,3.3535312539407927,0.0,406.15391341958855,10.579938051423133,2.227287816745026e-15,2.227287816745026e-15,10.579938051423133,0.0,360.3880063395348,5.28933378777783,2.227287816745026e-15,2.227287816745026e-15,5.28933378777783,0.0,673.829799715035,,,,,,,,,,,,
MRT_SR_sem_terra__A_818_2_-_Falta_A_py,MRT,True,True,SEM Aterramento,A-G,Barra 818.2,0.5,0.0,3.650837549729947,2.4913102884140823,2.6031002828189855,3.650837549729947,293.14560877212875,18505.217283995735,3.3668659870811517,5.910329613736052e-16,5.910329613736052e-16,3.3668659870811517,0.0,303.2752861116957,10.58464479326266,5.910329613736052e-16,5.910329613736052e-16,10.58464479326266,0.0,1959.9047033294885,5.289131901113705,5.910329613736052e-16,5.910329613736052e-16,5.289131901113705,0.0,2241.0183274575734,,,,,,,,,,,,
MRT_SR_sem_terra__A_820_-_Falta_A_py,MRT,True,True,SEM Aterramento,A-G,Barra 820,0.5,0.0,3.6532489848103165,2.4907297126943777,2.6061951083365447,3.6532489848103165,333.16529441101153,18535.88235577875,3.3535312539407927,2.227287816745026e-15,2.227287816745026e-15,3.3535312539407927,0.0,406.15391341958855,5.059857039801353,2.227287816745026e-15,2.227287816745026e-15,5.059857039801353,0.0,360.3880063395348,5.28933378777783,2.227287816745026e-15,2.227287816745026e-15,5.28933378777783,0.0,673.829799715035,,,,,,,,,,,,
MRT_SR_sem_terra__A_822_-_Falta_A_py,MRT,True,True,SEM Aterramento,A-G,Barra 822,0.5,0.0,3.6609641880012163,2.4905780236930037,2.609106308699813,3.6609641880012163,346.01518385351943,18546.78072096519,3.3637568791793333,1.3517302842352265e-15,1.3517302842352265e-15,3.3637568791793333,0.0,538.5555962264237,5.070462508487832,1.3517302842352265e-15,1.3517302842352265e-15,5.070462508487832,0.0,653.9476951498084,9.872330743899433,1.3517302842352265e-15,1.3517302842352265e-15,9.872330743899433,0.0,340.7165324969047,,,,,,,,,,,,
MRT_SR_sem_terra__Sem_Falta_py,MRT,True,True,SEM Aterramento,Normal,Indefinido,0.5,5e-05,10.491298240782731,5.284828278467028,6.733949391658758,10.491298240782731,996.3639790481943,19159.756710553575,13.95018001153183,2.7535938842466413e-15,2.7535938842466413e-15,13.95018001153183,0.0,2107.4224000840363,10.387531308524876,2.7535938842466413e-15,2.7535938842466413e-15,10.387531308524876,0.0,3376.433605813738,5.306956311407108,2.7535938842466413e-15,2.7535938842466413e-15,5.306956311407108,0.0,3634.8153121503246,,,,,,,,,,,,
