tempo_s,V_A,V_B,V_C,I_A,I_B,I_C
0.0,-45.28216897728872,-16698.854514507577,16744.136683484965,-0.2879740849555479,-0.2856361094757805,0.5736101944313284
5e-05,415.0748199388914,-17434.455626034527,17019.380806095865,-0.8198039984654482,-0.8368931598689741,1.6566971583344225
0.0001,631.0230510740939,-16811.46934381246,16180.44629273871,-1.3128559115618472,-1.3810405454706134,2.693896457032463
0.00015000000000000001,1213.0003277228489,-17040.206072860838,15827.20574513843,-1.7573343714804923,-1.914853154462855,3.6721875259433485
0.0002,1456.1124873789358,-17150.477083021786,15694.364595643381,-2.1661424030771044,-2.449286782091809,4.615429185168912
0.00025,1763.0515758430774,-17025.002422663783,15261.950846821313,-2.542970540841138,-2.9744887834075473,5.517459324248685
0.00030000000000000003,2442.2116097622684,-17327.93764003062,14885.726030269037,-2.8777240335548786,-3.5017643439054154,6.379488377460292
0.00035,2452.380756733007,-17892.917272789884,15440.536516057668,-3.1946215699846747,-4.03639410596245,7.231015675947123
0.0004,2976.6707854919396,-17808.095776662078,14831.424991170952,-3.489793592553453,-4.569433695420744,8.059227287974194
0.00045000000000000004,3533.094039899756,-18473.76870658908,14940.674666690244,-3.75019609289682,-5.112459217683547,8.862655310580369
0.0005,3487.44748345184,-18665.81697886392,15178.36949541304,-3.999935179871761,-5.658447117973832,9.658382297845597
0.00055,4180.419224967895,-18989.23693552932,14808.817710562449,-4.227568330743599,-6.2059286463424685,10.433496977086065
0.0006000000000000001,4491.381579503699,-18800.48837678129,14309.106797278668,-4.4174280602424085,-6.7526983074919,11.17012636773431
0.0006500000000000001,4562.159780370471,-19055.11186454993,14492.952084180559,-4.590672125348367,-7.288660613036779,11.879332738385147
0.0007,5361.543011384496,-18769.711871270316,13408.168859886953,-4.727531107525387,-7.820439836548045,12.547970944073432
0.00075,5488.553957471574,-18767.182105951946,13278.62814848157,-4.826759143035127,-8.344480131130387,13.171239274165517
0.0008,5803.036159848238,-18830.04991578407,13027.01375593705,-4.909095443101643,-8.859260471432348,13.768355914533988
0.0008500000000000001,6468.711036293049,-18937.342940182705,12468.631903890895,-4.959166366915768,-9.375903808235138,14.335070175150902
0.0009000000000000001,6600.932899536467,-18703.752469153114,12102.81956961791,-4.980354428101194,-9.885244476725127,14.86559890482632
0.00095,7087.7026512714265,-19660.725198903187,12573.022547632996,-4.993116890400619,-10.400766774178189,15.393883664578807
0.001,7476.672215379175,-19390.01116970193,11913.33895432405,-4.987255481990332,-10.923047133930279,15.910302615920608
0.0010500000000000002,7654.523071861587,-19728.39805238261,12073.874980522307,-4.965459150190685,-11.438497194785619,16.4039563449763
0.0011,8147.451767056369,-20103.24892782829,11955.79716077321,-4.933715983396426,-11.959366382846664,16.893082366243085
0.00115,8341.362782776516,-19942.990735165095,11601.627952389897,-4.884481964869532,-12.476631786356661,17.36111375122618
0.0012000000000000001,8746.021657137413,-19751.901862811992,11005.880205675894,-4.811442167118756,-12.980639867807017,17.792082034925766
0.00125,9053.186845510796,-20216.90423526207,11163.717389752575,-4.723178766368256,-13.484270858933414,18.207449625301667
0.0013000000000000002,9290.530909127418,-19333.600886642416,10043.06997751629,-4.61239091852594,-13.971631169165352,18.58402208769129
0.00135,9936.000290861757,-19665.656082947135,9729.65579208659,-4.468270871736602,-14.449559222148956,18.91783009388556
0.0014,10098.96843025215,-19575.768931394527,9476.800501143569,-4.307270981631414,-14.927560270503058,19.234831252134466
0.0014500000000000001,10457.834992777192,-19565.692992639495,9107.85799986349,-4.1330213034256325,-15.396597578472411,19.52961888189805
