tempo_s,V_A,V_B,V_C,I_A,I_B,I_C
0.0,18505.65722496885,-37162.21906047959,18656.561835510744,0.0008467090864307865,0.31130306210587666,-0.31214977119230747
5e-05,19665.039510380862,-37945.34121018036,18280.301699799493,-0.006206846397050983,0.8967732894213293,-0.8905664430242786
0.0001,19333.423520296295,-36578.541752011726,17245.118231715416,-0.024546567031117284,1.462866298159723,-1.4383197311286067
0.00015000000000000001,20079.410194798693,-36126.56153792343,16047.15134312469,-0.0566533146297065,2.0042210585097697,-1.9475677438800636
0.0002,20581.121674979247,-36350.0330790354,15768.911404056144,-0.10167849398052346,2.533129085790059,-2.431450591809535
0.00025,20631.778075069196,-35418.95905233614,14787.180977266931,-0.15485751901326786,3.0438187840992557,-2.888961265085989
0.00030000000000000003,21833.06351143476,-35592.64449176555,13759.580980330795,-0.22391641697350212,3.5409373343518333,-3.317020917378331
0.00035,22313.495910584315,-36525.1965893949,14211.70067881061,-0.30185286391551003,4.036896462344487,-3.7350435984289767
0.0004,22913.982540896002,-35998.12684232729,13084.144301431284,-0.3870991740757858,4.523730787603763,-4.136631613527981
0.00045000000000000004,24114.412040613523,-36566.41551766706,12452.003477053537,-0.48836809934337994,5.005343512878466,-4.516975413535087
0.0005,24380.321062947878,-37275.42616353032,12895.10510058247,-0.594377657945502,5.485101077227169,-4.8907234192816675
0.00055,25361.75177393286,-36935.950892425055,11574.199118492184,-0.7089829325416528,5.957966593207973,-5.2489836606663225
0.0006000000000000001,25591.678943565184,-36407.13554888291,10815.456605317691,-0.8367654891226508,6.416631611301517,-5.579866122178868
0.0006500000000000001,25813.32595081102,-36615.49746838987,10802.171517578809,-0.9665647113376999,6.861636157501857,-5.895071446164157
0.0007,26476.650497669154,-35319.88647688723,8843.235979218043,-1.1080354778555785,7.290454832316698,-6.182419354461122
0.00075,26473.312509136467,-34914.22329474336,8440.910785606853,-1.2600535832345174,7.700258874512877,-6.440205291278361
0.0008,26987.981877623464,-34922.43792219236,7934.456044568849,-1.4148298101150096,8.097363051885877,-6.6825332417708685
0.0008500000000000001,27703.565530059503,-34165.41473948418,6461.849209424668,-1.581886167454779,8.484211589133487,-6.902325421678708
0.0009000000000000001,27681.496180582668,-33720.85603293834,6039.35985235568,-1.7565413574194044,8.855388117287236,-7.098846759867829
0.00095,29150.845846978747,-35055.614902740366,5904.76905576163,-1.9364866714816977,9.228194104143407,-7.29170743266171
0.001,29357.61077581156,-34224.27156719422,4866.660791382641,-2.1254836087568414,9.598891409019076,-7.473407800262238
0.0010500000000000002,29807.785114367023,-34550.426608318856,4742.641493951793,-2.317680120138606,9.959087648300164,-7.64140752816156
0.0011,30843.670740663296,-35026.144790439605,4182.474049776326,-2.5154291366224366,10.319596705142718,-7.804167568520281
0.00115,30754.0681525936,-34229.49417299519,3475.426020401619,-2.718071404260956,10.671119853435405,-7.953048449174446
0.0012000000000000001,31070.122916630025,-33553.17175728383,2483.0488406538307,-2.924519187804352,11.004602632869323,-8.080083445064968
0.00125,31800.513000909064,-34025.96729239932,2225.454291490265,-3.136246383822205,11.332482452081246,-8.19623606825904
0.0013000000000000002,31155.82176239414,-31984.762452706793,828.9406903126636,-3.3501820550446277,11.640348925121481,-8.290166870076852
0.00135,32128.321515333057,-31813.183509945644,-315.1380053874266,-3.5727460498468404,11.929764498306549,-8.357018448459707
0.0014,32267.81138822119,-31601.889130306885,-665.9222579142825,-3.801261625055288,12.213100059519507,-8.411838434464212
0.0014500000000000001,32549.86994651992,-30993.452304244634,-1556.417642275289,-4.031337376432778,12.485280026943556,-8.453942650510786
0.0015,33325.148904921836,-30565.695276955492,-2759.45362796635,-4.270829363299844,12.748766309737833,-8.477936946437987
0.0015500000000000002,33680.64666123191,-31415.783238721433,-2264.8634225104906,-4.511493302720907,13.01236683429541,-8.500873531574504
0.0016,34100.111343487726,-30428.69562184837,-3671.415721639369,-4.7539065407741905,13.269948473470997,-8.516041932696808
0.00165,34863.51409290806,-30938.107246719606,-3925.4068461885017,-5.003149912528592,13.523716898895445,-8.520566986366857
0.0017000000000000001,34550.446082121336,-30701.39552573941,-3849.0505563818992,-5.247118483720692,13.772221587197855,-8.525103103477159
