Curva_Teste;R_Montante(A);R_Jusante(A);Pickup_M;Pickup_J;Tempo_Montante(s);Tempo_Jusante(s);Diferenca(s);1o_A_Atuar;2o_A_Atuar;Status_Coordenacao
IEC_C1;13.49;23.93;20;35;Inf;Inf;-;-;-;Nenhum Atuou
IEC_C2;13.49;23.93;20;35;Inf;Inf;-;-;-;Nenhum Atuou
IEC_C3;13.49;23.93;20;35;Inf;Inf;-;-;-;Nenhum Atuou
IEEE_U1;13.49;23.93;20;35;Inf;Inf;-;-;-;Nenhum Atuou
IEEE_U2;13.49;23.93;20;35;Inf;Inf;-;-;-;Nenhum Atuou
IEEE_U3;13.49;23.93;20;35;Inf;Inf;-;-;-;Nenhum Atuou
