tempo_s,V_RMS_A,V_RMS_B,V_RMS_C,I_RMS_A,I_RMS_B,I_RMS_C
0.0,6802.981075480228,0.0,0.0,10.595414574172196,6.049705903458813e-14,6.049705903458813e-14
5e-05,6802.349459739051,0.0,0.0,10.594205843552713,6.049116082102864e-14,6.049116082102864e-14
0.0001,6801.051651040067,0.0,0.0,10.592526056310628,6.047982359174394e-14,6.047982359174394e-14
0.00015000000000000001,6799.151658334963,0.0,0.0,10.588970174306493,6.046287612516767e-14,6.046287612516767e-14
0.0002,6796.57757429895,0.0,0.0,10.585486078499757,6.043996445033317e-14,6.043996445033317e-14
0.00025,6793.413234944216,0.0,0.0,10.579792516359014,6.041171944699144e-14,6.041171944699144e-14
0.00030000000000000003,6789.570953341949,0.0,0.0,10.574285502973597,6.037753556255942e-14,6.037753556255942e-14
0.00035,6785.139640108909,0.0,0.0,10.566734129326932,6.033806812385589e-14,6.033806812385589e-14
0.0004,6780.059781652532,0.0,0.0,10.558990862455305,6.0292966279701e-14,6.0292966279701e-14
0.00045000000000000004,6774.387856771565,0.0,0.0,10.549803363006214,6.024233234345704e-14,6.024233234345704e-14
0.0005,6768.096589596972,0.0,0.0,10.539735734617809,6.018636000063445e-14,6.018636000063445e-14
0.00055,6761.197731522237,0.0,0.0,10.529009147627761,6.012493012320022e-14,6.012493012320022e-14
0.0006000000000000001,6753.726727867461,0.0,0.0,10.516682957520958,6.00584197686025e-14,6.00584197686025e-14
0.0006500000000000001,6745.637311452227,0.0,0.0,10.504374203562064,5.998660080518133e-14,5.998660080518133e-14
0.0007,6737.019901590224,0.0,0.0,10.489996750635468,5.990959918651428e-14,5.990959918651428e-14
0.00075,6727.786130385773,0.0,0.0,10.475961416273304,5.982755376808926e-14,5.982755376808926e-14
0.0008,6718.047977486919,0.0,0.0,10.459839947657283,5.9740747051673e-14,5.9740747051673e-14
0.0008500000000000001,6707.726904201142,0.0,0.0,10.443891367721351,5.964900925106961e-14,5.964900925106961e-14
0.0009000000000000001,6696.90305508059,0.0,0.0,10.426341164150486,5.955249958354132e-14,5.955249958354132e-14
0.00095,6685.548306366825,0.0,0.0,10.408359360193282,5.945147064097175e-14,5.945147064097175e-14
0.001,6673.69703152287,0.0,0.0,10.38958695279884,5.934590008707064e-14,5.934590008707064e-14
0.0010500000000000002,6661.36187522725,0.0,0.0,10.369615610540349,5.923621068360657e-14,5.923621068360657e-14
0.0011,6648.523341377924,0.0,0.0,10.349671953919248,5.912163216451135e-14,5.912163216451135e-14
0.00115,6635.251438364681,0.0,0.0,10.327920619239626,5.900379152903571e-14,5.900379152903571e-14
0.0012000000000000001,6621.500147422197,0.0,0.0,10.306712186825115,5.888132726399579e-14,5.888132726399579e-14
0.00125,6607.384355931966,0.0,0.0,10.283514971974338,5.875527651023256e-14,5.875527651023256e-14
0.0013000000000000002,6592.7925675559245,0.0,0.0,10.26090726133808,5.862586649420851e-14,5.862586649420851e-14
0.00135,6577.859280562026,0.0,0.0,10.236632955672327,5.849274178090643e-14,5.849274178090643e-14
0.0014,6562.526210062509,0.0,0.0,10.21248960136404,5.835608822086259e-14,5.835608822086259e-14
0.0014500000000000001,6546.85079781768,0.0,0.0,10.187461825392843,5.821680076225692e-14,5.821680076225692e-14
0.0015,6530.846166297978,0.0,0.0,10.161779127146028,5.80742104634737e-14,5.80742104634737e-14
0.0015500000000000002,6514.512733103368,0.0,0.0,10.136152499925597,5.792849789800973e-14,5.792849789800973e-14
0.0016,6497.911841848223,0.0,0.0,10.10912056606811,5.778116180332245e-14,5.778116180332245e-14
0.00165,6481.010280343543,0.0,0.0,10.082877066751628,5.7630216877093e-14,5.7630216877093e-14
0.0017000000000000001,6463.899252746178,0.0,0.0,10.0548522991643,5.747813834164626e-14,5.747813834164626e-14
0.00175,6446.508359263814,0.0,0.0,10.027871496169853,5.732338016294915e-14,5.732338016294915e-14
0.0018000000000000002,6428.982693743747,0.0,0.0,9.999274295960106,5.716699303516023e-14,5.716699303516023e-14
0.00185,6411.206381422085,0.0,0.0,9.971438724537316,5.700900627875068e-14,5.700900627875068e-14
