tempo_s,V_RMS_A,V_RMS_B,V_RMS_C,I_RMS_A,I_RMS_B,I_RMS_C
0.0,26065.592596124006,25991.77062753352,26068.357791748178,14.202415960951777,10.924211036554755,10.29463316612738
5e-05,26068.174637988475,25992.115156559466,26065.7784203137,14.20094493262337,10.925656763962674,10.2930244423624
0.0001,26073.369326779008,25993.39727298091,26060.904714669054,14.198143323388411,10.92862882675844,10.29054540183734
0.00015000000000000001,26081.056275470433,25995.0444126953,26053.570164222197,14.194148913468041,10.933099059063629,10.28767237580204
0.0002,26091.140011157073,25996.20318602114,26043.45669034035,14.18910200925734,10.938974555458184,10.284686346176052
0.00025,26103.654672511806,25997.0826732759,26030.6404502383,14.183155025677069,10.94620591175853,10.282025544540566
0.00030000000000000003,26118.530950199754,25997.757832085223,26015.18699779022,14.17635688376642,10.954840223067025,10.27995766243677
0.00035,26135.640414364265,25997.77910536836,25996.97339766932,14.168644605131522,10.965054028823921,10.278473109059464
0.0004,26155.056753218,25997.45629548648,25976.067260830267,14.159926689776153,10.976932973320636,10.277252999919154
0.00045000000000000004,26176.896721225134,25997.4474587791,25952.622017860955,14.150059857587062,10.990344426350106,10.275569892966068
0.0005,26201.07037468953,25997.665474398797,25926.652273158048,14.138843971763157,11.005249356014431,10.272787335532366
0.00055,26227.516471873914,25998.14565186395,25898.299010244988,14.12617108464812,11.021725309789398,10.268741775599102
0.0006000000000000001,26256.334219628916,25999.557765166246,25867.847238869992,14.112116974724703,11.039603361759156,10.263492763949936
0.0006500000000000001,26287.48398149889,26001.834461882074,25835.27495545998,14.096824835160083,11.058554678514678,10.257172479790169
0.0007,26320.777899439443,26004.11676987787,25800.35254628463,14.080411228612958,11.078418096591845,10.250040185049142
0.00075,26356.120855000794,26006.326522263633,25763.215435966937,14.06305636859433,11.099197371418827,10.242662750578894
0.0008,26393.44958060873,26008.782478467274,25724.053523980267,14.045020451541278,11.120943513606337,10.23585332825313
0.0008500000000000001,26432.640420622145,26010.871228160082,25682.52625825432,14.026427445476331,11.143722106142487,10.22988598578442
0.0009000000000000001,26473.610452959165,26012.087335343418,25638.401219598734,14.007173992147157,11.16765103499498,10.224325851256564
0.00095,26516.325578539894,26013.04340050558,25592.010277066936,13.98710652683917,11.192913359206845,10.218864868703841
