t,Ia_real,Ia_imag,Ib_real,Ib_imag,Ic_real,Ic_imag,Ia_mag,Ia_ang
0.0,3.716074570768944,-7.370580735454757,4.73551663189152e-06,-2.361540435490352e-06,4.73551663189152e-06,-2.361540435490352e-06,8.254372816475662,-63.243826125677685
5e-05,3.754055469871384,-7.369864010675928,4.847334195763027e-06,-2.3594303638325232e-06,4.847334195763027e-06,-2.3594303638325232e-06,8.27090249046182,-63.0066525777184
0.0001,3.7901794015729253,-7.368500159863455,4.960401758941575e-06,-2.355161523741155e-06,4.960401758941575e-06,-2.355161523741155e-06,8.286148351436598,-62.77979907765111
0.00015000000000000001,3.817552282006434,-7.366949053475937,5.0750518238938215e-06,-2.3486647851714345e-06,5.0750518238938215e-06,-2.3486647851714345e-06,8.297327508442857,-62.60681362245762
0.0002,3.850139915872741,-7.364484863576889,5.19043194029433e-06,-2.339940048710006e-06,5.19043194029433e-06,-2.339940048710006e-06,8.310187403280967,-62.3995095426957
0.00025,3.890112349580619,-7.360702551296814,5.306364166451583e-06,-2.3289701916866456e-06,5.306364166451583e-06,-2.3289701916866456e-06,8.325437894851362,-62.143663532817634
0.00030000000000000003,3.9236440987043766,-7.356890102153366,5.422481448143174e-06,-2.315768040212513e-06,5.422481448143174e-06,-2.315768040212513e-06,8.337794371922339,-61.92769873923577
0.00035,3.949166817308681,-7.353499347716313,5.538619938679448e-06,-2.3003387629398318e-06,5.538619938679448e-06,-2.3003387629398318e-06,8.34684798039333,-61.76215946714247
0.0004,3.9782178867407314,-7.349080552459355,5.655275086870758e-06,-2.282595002534269e-06,5.655275086870758e-06,-2.282595002534269e-06,8.356745928943885,-61.57234839834855
0.00045000000000000004,4.008928344276811,-7.343814715674897,5.771960444948935e-06,-2.2625872885477895e-06,5.771960444948935e-06,-2.2625872885477895e-06,8.366786781537414,-61.37023498066557
0.0005,4.033070088635208,-7.339204710542391,5.888264725075259e-06,-2.240378316389225e-06,5.888264725075259e-06,-2.240378316389225e-06,8.37434057840327,-61.210143516753575
0.00055,4.0563849828329905,-7.334294937499492,6.0046611323142224e-06,-2.2158669487757176e-06,6.0046611323142224e-06,-2.2158669487757176e-06,8.381297116746529,-61.05429609026092
0.0006000000000000001,4.077321640420683,-7.32947173053986,6.120886898502146e-06,-2.1890918571920494e-06,6.120886898502146e-06,-2.1890918571920494e-06,8.387234801066784,-60.913191450123435
0.0006500000000000001,4.092520798499598,-7.325666920625969,6.23724906589355e-06,-2.1599628800609534e-06,6.23724906589355e-06,-2.1599628800609534e-06,8.391312312034714,-60.80987060885898
0.0007,4.106230173177273,-7.321958826987907,6.353778856775124e-06,-2.128444055433878e-06,6.353778856775124e-06,-2.128444055433878e-06,8.394772617481523,-60.715841246938275
0.00075,4.123813674461772,-7.316844950537288,6.469931782316951e-06,-2.094662859016381e-06,6.469931782316951e-06,-2.094662859016381e-06,8.398932030435828,-60.59415524536378
0.0008,4.13288191685494,-7.31402097680401,6.5861762547723655e-06,-2.058462752907587e-06,6.5861762547723655e-06,-2.058462752907587e-06,8.400929459755965,-60.530819886413056
0.0008500000000000001,4.136064929962205,-7.312963463195873,6.7026406347537854e-06,-2.019769017587254e-06,6.7026406347537854e-06,-2.019769017587254e-06,8.401575311743686,-60.50837338711125
0.0009000000000000001,4.141873416565102,-7.310911194320457,6.818983194968439e-06,-1.978662576006481e-06,6.818983194968439e-06,-1.978662576006481e-06,8.402650646676253,-60.467009389589855
0.00095,4.153044925955813,-7.306725326168527,6.935127080149508e-06,-1.935144464619941e-06,6.935127080149508e-06,-1.935144464619941e-06,8.404523612262619,-60.38667936405613
0.001,4.160795959080862,-7.303653091036433,7.050220702507822e-06,-1.889525427211029e-06,7.050220702507822e-06,-1.889525427211029e-06,8.405686853988177,-60.330398978045814
0.0010500000000000002,4.16819763172635,-7.300556494052104,7.163998056624729e-06,-1.8419250227459807e-06,7.163998056624729e-06,-1.8419250227459807e-06,8.406663822229095,-60.27611963308548
0.0011,4.172030676959681,-7.298867215395264,7.277047743149435e-06,-1.792102385395326e-06,7.277047743149435e-06,-1.792102385395326e-06,8.407098345889887,-60.24772566061397
0.00115,4.169187542009397,-7.300184836161768,7.38920113890124e-06,-1.7401260825251482e-06,7.38920113890124e-06,-1.7401260825251482e-06,8.4068319480392,-60.26900479280013
0.0012000000000000001,4.165641793099827,-7.301910074473405,7.5006021469384225e-06,-1.6859222198370482e-06,7.5006021469384225e-06,-1.6859222198370482e-06,8.406572564613723,-60.29582138132147
0.00125,4.165217289724925,-7.302126622035973,7.611201747978365e-06,-1.6295031771576104e-06,7.611201747978365e-06,-1.6295031771576104e-06,8.406550319534757,-60.299065787842856
0.0013000000000000002,4.157612657258545,-7.306188500695327,7.720857468319051e-06,-1.5709325319230275e-06,7.720857468319051e-06,-1.5709325319230275e-06,8.406315091375596,-60.35780514686525
0.00135,4.144769568031134,-7.313363080790572,7.829843988938098e-06,-1.5100490086804483e-06,7.829843988938098e-06,-1.5100490086804483e-06,8.406211651127252,-60.45807195604363
0.0014,4.1357916042932485,-7.318603131871624,7.938127337833211e-06,-1.4468486777364597e-06,7.938127337833211e-06,-1.4468486777364597e-06,8.40635021849457,-60.52891816403908
0.0014500000000000001,4.125196958753734,-7.325057790112998,8.045394077429685e-06,-1.3814977283177395e-06,8.045394077429685e-06,-1.3814977283177395e-06,8.40676641622724,-60.613425049994966
0.0015,4.113410725243551,-7.332546923280808,8.151493911314775e-06,-1.314080449985243e-06,8.151493911314775e-06,-1.314080449985243e-06,8.40751997777368,-60.70845510262557
0.0015500000000000002,4.101064108487807,-7.340723159041973,8.256140208103437e-06,-1.2447810774523721e-06,8.256140208103437e-06,-1.2447810774523721e-06,8.408623152432392,-60.80908499816079
0.0016,4.085292434150224,-7.3516011124926335,8.359705559319681e-06,-1.1733505466464477e-06,8.359705559319681e-06,-1.1733505466464477e-06,8.410449048043034,-60.93902630424263
0.00165,4.066548809081338,-7.365057710915795,8.462017167524194e-06,-1.0998980410304848e-06,8.462017167524194e-06,-1.0998980410304848e-06,8.413138195807855,-61.09511985051822
0.0017000000000000001,4.053930548013349,-7.37448253136482,8.56254671533953e-06,-1.0248105996726118e-06,8.56254671533953e-06,-1.0248105996726118e-06,8.415304242481117,-61.20134559823004
0.00175,4.039909019452851,-7.385373582522984,8.661360074966512e-06,-9.480585287293937e-07,8.661360074966512e-06,-9.480585287293937e-07,8.418111892751536,-61.32068578604358
0.0018000000000000002,4.021117337850197,-7.400546805732941,8.758227337334465e-06,-8.698436768217959e-07,8.758227337334465e-06,-8.698436768217959e-07,8.422438938253189,-61.4823741360286
0.00185,3.9985793383351176,-7.419458432813515,8.853356698739413e-06,-7.900206647527726e-07,8.853356698739413e-06,-7.900206647527726e-07,8.42834504284252,-61.678377009528226
0.0019,3.9753376475550994,-7.4397199412705115,8.947298552040565e-06,-7.081245723753923e-07,8.947298552040565e-06,-7.081245723753923e-07,8.43520848684886,-61.88264082570907
0.0019500000000000001,3.948945559391366,-7.4636190852410556,9.039746605167705e-06,-6.244089786044518e-07,9.039746605167705e-06,-6.244089786044518e-07,8.443919758063274,-62.117014727119816
0.002,3.9239919763422644,-7.4870875260113605,9.13059139135437e-06,-5.3897092829648e-07,9.13059139135437e-06,-5.3897092829648e-07,8.453058183435946,-62.34090997090404
0.00205,3.899561520878923,-7.510948465985393,9.219951504851375e-06,-4.516939511060998e-07,9.219951504851375e-06,-4.516939511060998e-07,8.462914800103322,-62.56239924854055
0.0021000000000000003,3.871746028328415,-7.539160396096471,9.30747117714586e-06,-3.629269133255243e-07,9.30747117714586e-06,-3.629269133255243e-07,8.475220161502966,-62.817173266000516
0.00215,3.8435123890474014,-7.568898393910273,9.39331983492902e-06,-2.7250402550495856e-07,9.39331983492902e-06,-2.7250402550495856e-07,8.488863904086244,-63.0783845930073
0.0022,3.819513175834366,-7.595151026990191,9.477188638234598e-06,-1.807603128886874e-07,9.477188638234598e-06,-1.807603128886874e-07,8.501470462406047,-63.30270837583452
0.0022500000000000003,3.7950847226244524,-7.622907141513158,9.558728804403165e-06,-8.811268714880002e-08,9.558728804403165e-06,-8.811268714880002e-08,8.515361492034842,-63.53345940154945
0.0023,3.7659287043193057,-7.657322923857583,9.638207930760393e-06,5.704523589900507e-09,9.638207930760393e-06,5.704523589900507e-09,8.533276824658328,-63.811695386395115
0.00235,3.7371021065410233,-7.6926814440793025,9.715623368711326e-06,1.0066180399167231e-07,9.715623368711326e-06,1.0066180399167231e-07,8.55238446018392,-64.08953381672772
