Metrica,T2F,MRT,Delta_%
822_I_pico_max,10.268300566092243,5.3059761973028925,93.52330625440376
822_I0,1.4071791188810771e-14,,
822_I1,9.070525531681277,,
822_I2,0.09031849441864426,,
