Metrica,T2F,MRT,Delta_%
822_I_pico_max,10.27014514794261,6.405793562000487,60.32588388214172
822_I0,1.5651876586640853e-14,,
822_I1,9.072028010897156,,
822_I2,0.09074353449674215,,
