Metrica,T2F,MRT,Delta_%
822_I_pico_max,10.259393326216955,5.880665108180977,74.45974456094166
822_I0,1.6666293976118856e-14,,
822_I1,9.063792236623978,,
822_I2,0.08091236799125173,,
