Curva;Caso;Icc_Antes_Trafo(A);Icc_Depois_Trafo(A);Tempo_Antes(s);Tempo_Depois(s);Status
IEC_C1;Com Regulador e Com Terra;70.86;112.28;1.6393;1.7806;Falha Coord (M < J)
IEC_C1;Sem Terra;71.28;112.87;1.6314;1.7725;Falha Coord (M < J)
IEC_C1;Sem Regulador;68.90;109.41;1.6769;1.8216;Falha Coord (M < J)
IEC_C1;Sem Regulador e Sem Terra;68.90;109.41;1.6769;1.8216;Falha Coord (M < J)
IEC_C2;Com Regulador e Com Terra;70.86;112.28;1.5927;1.8342;Falha Coord (M < J)
IEC_C2;Sem Terra;71.28;112.87;1.5795;1.8202;Falha Coord (M < J)
IEC_C2;Sem Regulador;68.90;109.41;1.6566;1.9050;Falha Coord (M < J)
IEC_C2;Sem Regulador e Sem Terra;68.90;109.41;1.6566;1.9050;Falha Coord (M < J)
IEC_C3;Com Regulador e Com Terra;70.86;112.28;2.0777;2.5830;Falha Coord (M < J)
IEC_C3;Sem Terra;71.28;112.87;2.0507;2.5531;Falha Coord (M < J)
IEC_C3;Sem Regulador;68.90;109.41;2.2085;2.7361;Falha Coord (M < J)
IEC_C3;Sem Regulador e Sem Terra;68.90;109.41;2.2085;2.7361;Falha Coord (M < J)
IEEE_U1;Com Regulador e Com Terra;70.86;112.28;0.6372;0.6892;Falha Coord (M < J)
IEEE_U1;Sem Terra;71.28;112.87;0.6343;0.6862;Falha Coord (M < J)
IEEE_U1;Sem Regulador;68.90;109.41;0.6511;0.7043;Falha Coord (M < J)
IEEE_U1;Sem Regulador e Sem Terra;68.90;109.41;0.6511;0.7043;Falha Coord (M < J)
IEEE_U2;Com Regulador e Com Terra;70.86;112.28;0.6566;0.7805;Falha Coord (M < J)
IEEE_U2;Sem Terra;71.28;112.87;0.6500;0.7731;Falha Coord (M < J)
IEEE_U2;Sem Regulador;68.90;109.41;0.6887;0.8180;Falha Coord (M < J)
IEEE_U2;Sem Regulador e Sem Terra;68.90;109.41;0.6887;0.8180;Falha Coord (M < J)
IEEE_U3;Com Regulador e Com Terra;70.86;112.28;0.7689;0.9470;Falha Coord (M < J)
IEEE_U3;Sem Terra;71.28;112.87;0.7594;0.9365;Falha Coord (M < J)
IEEE_U3;Sem Regulador;68.90;109.41;0.8150;1.0010;Falha Coord (M < J)
IEEE_U3;Sem Regulador e Sem Terra;68.90;109.41;0.8150;1.0010;Falha Coord (M < J)
