tempo_s,V_RMS_A,V_RMS_B,V_RMS_C,I_RMS_A,I_RMS_B,I_RMS_C
0.0,14159.574551598205,13731.60729034516,13682.772550333979,8.649436688726414,9.388425233331704,6.959627148559995
5e-05,14159.423598105153,13734.034058287454,13682.224191887419,8.64844882312328,9.388357035121354,6.960821430695557
0.0001,14159.205054140686,13736.93667157861,13680.366179601011,8.646491916236489,9.38822088351722,6.963230375170831
0.00015000000000000001,14158.873129966463,13742.531228993283,13677.401624091048,8.64353670108157,9.388017073184834,6.96682331923017
0.0002,14158.38256804289,13748.98451086909,13673.190842857864,8.639581811781335,9.387747100388498,6.971582811021041
0.00025,14157.864263520862,13756.108450938438,13666.976515660193,8.634639504124051,9.387410090634255,6.9775184880835806
0.00030000000000000003,14157.230992962051,13764.963176109515,13659.066871696288,8.628691653256235,9.387006606874555,6.984593787712223
0.00035,14156.39242606627,13774.416931358233,13649.742347961652,8.621754839261035,9.386537229486967,6.992795092815185
0.0004,14155.496116089744,13784.712051868994,13637.830163540912,8.61385444628458,9.38599999399993,7.002135600156413
0.00045000000000000004,14154.376375353995,13797.06823715444,13625.264779129251,8.604991352555189,9.385397273091995,7.012574431141202
0.0005,14153.146404286666,13810.071513432384,13611.826227316491,8.595185405485749,9.384728575878414,7.02409597806048
0.00055,14151.723371727505,13825.719819025424,13596.786842746953,8.584464136614416,9.38399521251941,7.0367148263773585
0.0006000000000000001,14150.223579573798,13842.09582736078,13581.498354559333,8.572830103981095,9.38320117268452,7.050382212863654
0.0006500000000000001,14148.720456659408,13860.849750573674,13565.952725808873,8.560286763784939,9.382346719629814,7.0650741385607345
0.0007,14147.028863735379,13880.719187725499,13548.500130823972,8.546852360199457,9.381435540491726,7.0807840315196655
0.00075,14145.473447541117,13901.592536967612,13531.123103024212,8.532521943940685,9.380469076641445,7.09745153269034
0.0008,14143.897492183323,13923.678109952934,13511.883126784336,8.517296729677538,9.379446340135052,7.115046723395545
0.0008500000000000001,14141.909737880604,13946.824961127224,13490.705776883917,8.50121112613559,9.378371208443344,7.13355547452847
0.0009000000000000001,14140.276048491485,13969.276929192789,13468.504998472572,8.48426892188843,9.377239208335027,7.152910259087368
0.00095,14138.211583268068,13994.520813192448,13444.773870495232,8.466486720906389,9.376051753978556,7.173083629507242
0.001,14135.746013848846,14018.894189106119,13418.846349705835,8.447918584086871,9.374811564318264,7.19406273300002
0.0010500000000000002,14133.6207323295,14045.113170772425,13392.906706441861,8.42857671033627,9.37351610669234,7.2157940647341565
0.0011,14130.878521377483,14072.49306324119,13365.405656042783,8.408486031285227,9.37217278324731,7.2382481042960745
0.00115,14128.103125148233,14100.913553027987,13337.698832234115,8.387690480793829,9.370783785277402,7.261409081546129
0.0012000000000000001,14125.842524072787,14130.266072189559,13309.843500697634,8.36618608224778,9.369350177343057,7.285219958236894
0.00125,14122.8858045302,14161.835010257624,13281.585275601152,8.343993833772043,9.367883047164057,7.309648170027752
0.0013000000000000002,14120.404733428615,14192.413149808754,13252.027068220625,8.321146051849718,9.36637845674819,7.3346660671365855
0.00135,14118.151520901838,14225.280938958036,13222.866716382367,8.297637767097678,9.364839522031714,7.360207915466377
0.0014,14115.377629686298,14257.25243314499,13191.990421080196,8.273494906407509,9.363269951771908,7.386225959358836
0.0014500000000000001,14112.8955315107,14290.41673810574,13159.872929315987,8.248759257860884,9.361662937980107,7.412695083620192
0.0015,14110.166179490776,14323.0093894721,13126.693085764882,8.223453953695158,9.36002408739382,7.439549155334237
0.0015500000000000002,14106.992400460702,14356.590445117406,13092.707148326026,8.197621140757215,9.358352794143872,7.46674715218122
0.0016,14103.954530960336,14389.861658401202,13056.71141348032,8.171310285733128,9.356646188154771,7.494265470465742
0.00165,14100.546913071827,14424.474745761177,13021.67403241815,8.144552140323064,9.354915913168142,7.522048188681267
0.0017000000000000001,14097.214283682848,14458.736483518654,12985.48405659751,8.117379586498696,9.353161264013185,7.550062221091772
0.00175,14093.717539202304,14494.968618412948,12949.056762901637,8.089837193677868,9.351389589559844,7.578291315801454
0.0018000000000000002,14090.607352716605,14529.756913314011,12913.481064599062,8.061940889451682,9.349606974044173,7.606671315876349
0.00185,14087.771313034973,14566.857571088261,12878.160498511395,8.033702458645244,9.347811931880813,7.635168750010716
0.0019,14084.521337741602,14602.824718144417,12841.411785855122,8.005166427866111,9.346013661695938,7.663756466752063
0.0019500000000000001,14081.914096749762,14639.01493553995,12806.101029732381,7.976353539134557,9.344208663838907,7.692369528699786
0.002,14079.167129315585,14674.926917162791,12768.990904336913,7.947289651418534,9.342394056402128,7.720966283644211
0.00205,14075.662681748609,14711.080182968873,12731.426357014978,7.918038895704605,9.34057666083649,7.749515603826533
0.0021000000000000003,14073.012322354925,14745.529863268499,12693.830730154436,7.888633246810395,9.338748167190603,7.777953830700102
0.00215,14069.31273482298,14781.865239496918,12655.293282068062,7.8591212878885495,9.336917936784847,7.806252753606229
0.0022,14065.339519969753,14816.068377658285,12615.685303021943,7.829575383394838,9.33508927106039,7.8343848234968245
0.0022500000000000003,14062.408755300357,14851.443002858772,12577.99824938935,7.800019447747373,9.33325859983324,7.862301447431161
0.0023,14058.475882152272,14886.2436227913,12539.243642589532,7.770491689908211,9.331442799939861,7.889977031234988
0.00235,14055.048894678745,14921.433588595977,12501.603472926554,7.741041712237372,9.329641240510059,7.91739250126206
0.0024000000000000002,14052.553416090115,14955.565605016638,12465.018676183454,7.711681668350445,9.327855152513758,7.944502234365567
0.00245,14049.186429974134,14990.44900005465,12428.84874730777,7.682444307347819,9.326096070936366,7.971279201875182
0.0025,14046.817606879344,15023.579091509675,12392.516413455918,7.653369761288086,9.324352022865368,7.997692978340488
0.00255,14044.43630707239,15057.11832853756,12357.993237058077,7.6244837658287326,9.322631477076273,8.02369779798971
