tempo_s,V_A,V_B,V_C,I_A,I_B,I_C
0.0,18484.6508717037,-36979.98737324586,18495.336501542155,2.0325535581820806,-0.9683925015211605,-1.0225913657427643
5e-05,19020.09725651274,-36857.57009687159,17837.472840358852,2.0442765586055796,-1.0451517679942564,-0.95450062600408
0.0001,19482.75852793206,-36589.05385601525,17106.2953280832,2.0698237411191776,-1.3772192055529726,-0.6399960906164672
0.00015000000000000001,19962.67949930066,-36338.08770447454,16375.408205173873,2.099686494884301,-2.0308677392130106,-0.005858957949271826
0.0002,20513.31793009679,-36244.049378924465,15730.731448827672,2.129446445581878,-2.868958184999716,0.8069477616837322
0.00025,21040.586678607415,-36132.46169332235,15091.87501471495,2.1782714595199693,-3.786519002670417,1.6744090509152016
0.00030000000000000003,21552.95462782201,-35956.738669255334,14403.784041433328,2.2454061924469064,-4.816059172180158,2.6400834369221755
0.00035,22205.37461471428,-36037.839494027845,13832.464879313571,2.3011496123974395,-5.793373054838317,3.5663129441239985
0.0004,22935.556601212724,-36326.055310357224,13390.498709144495,2.350773411640467,-6.391665938172903,4.105426618613533
0.00045000000000000004,23543.538112670987,-36388.83140999677,12845.293297325781,2.4252810882767823,-6.619836868196432,4.2400029239737975
0.0005,24076.64893411151,-36286.70039054006,12210.051456428584,2.529224420221588,-6.722760134026837,4.22901616972141
0.00055,24649.03118318639,-36273.55565813055,11624.524474944177,2.656395274488499,-6.732540351669214,4.1100301859521835
0.0006000000000000001,25162.085252512166,-36137.808168774616,10975.722916262468,2.8030675983395477,-6.656813399824225,3.8867681193905934
0.0006500000000000001,25553.954789542837,-35776.26521913822,10222.310429595374,2.9730852308664635,-6.71606253433569,3.7836457389443687
0.0007,25936.239504054174,-35421.65903359161,9485.419529537456,3.182895368408972,-7.048572615545981,3.9278678013556476
0.00075,26348.258064641675,-35065.08422991589,8716.826165274211,3.4090346844095363,-7.623829793213089,4.306696962691081
0.0008,26768.729568435392,-34676.469805042914,7907.740236607544,3.59425327015144,-8.419934190814017,4.9527435523126595
0.0008500000000000001,27258.610786216796,-34485.599543554345,7226.98875733756,3.7357116784761377,-9.305685751074652,5.733090429662243
0.0009000000000000001,27801.326723364236,-34448.89206194898,6647.56533858474,3.8726182884967675,-10.046624166913654,6.362607171840398
0.00095,28303.625335446424,-34309.57131567127,6005.945980224847,4.009335759499444,-10.594430200021126,6.785203337262874
0.001,28809.109798299047,-34163.50127630917,5354.391478010146,4.124453564103341,-10.994595277500279,7.073049043368738
0.0010500000000000002,29359.83149165148,-34166.27976169442,4806.448270042954,4.23078033956328,-11.139953646322112,7.104650720913785
0.0011,29828.782622218772,-34096.27981277267,4267.497190553882,4.387618503150497,-10.993654392546679,6.779982914349116
0.00115,30153.327574720563,-33742.15706568728,3588.8294909667175,4.633527373920886,-10.800240261216597,6.3144256115587964
0.0012000000000000001,30461.884351906563,-33272.684061664324,2810.799709757771,4.92849544891112,-10.791083132051114,5.99418570199736
0.00125,30815.813884090083,-32874.25905039884,2058.4451663087657,5.217009470884911,-10.950838425054272,5.8620383560291405
0.0013000000000000002,31117.40490334982,-32428.649024234957,1311.244120885137,5.506360449553869,-11.251217360314143,5.880068961360649
0.00135,31377.94252297604,-31888.97158665274,511.0290636766963,5.8094967121078485,-11.776961073390826,6.125171758073527
0.0014,31729.768383511473,-31463.340459015937,-266.42792449555964,6.079513549010941,-12.474277543776855,6.590657349511011
0.0014500000000000001,32147.685005522446,-31164.179576675808,-983.5054288466413,6.268702106217417,-13.142570885012935,7.113471763273562
0.0015,32536.66230574568,-30867.22242110743,-1669.4398846382337,6.389819866618224,-13.686652219670723,7.580473951261863
0.0015500000000000002,32931.6348468935,-30681.358282546684,-2250.2765643468156,6.503518112359052,-14.046080191125913,7.865863289439476
0.0016,33327.4755935956,-30559.07736135876,-2768.398232236837,6.667882685246985,-14.121619741557726,7.798984240008518
0.00165,33639.46942854122,-30222.694483911546,-3416.774944629651,6.877860990348948,-14.000686151347773,7.471401246344933
0.0017000000000000001,33900.251700754554,-29788.857348270663,-4111.394352483872,7.1068087174820676,-13.863481837917677,7.1035332921558245
0.00175,34156.31258241241,-29460.460574934234,-4695.852007478181,7.396958594815952,-13.711688245935653,6.653655207359805
0.0018000000000000002,34335.31322531018,-28974.59523818737,-5360.717987122785,7.784236589244754,-13.588497624542052,6.121681467932747
0.00185,34459.69592569994,-28244.807792553678,-6214.888133146259,8.196886835801635,-13.713017351240055,5.812958589158068
0.0019,34663.149857384036,-27618.45412465224,-7044.695732731786,8.540601438017099,-14.111283900158613,5.865679264601743
0.0019500000000000001,34912.74639521704,-27142.902469127323,-7769.843926089721,8.802495976512153,-14.589120698929657,6.094740881656953
0.002,35112.33055531013,-26627.10224586393,-8485.228309446189,9.020072766062952,-15.080037882927236,6.386661280761063
0.00205,35340.90042341505,-26159.32329565866,-9181.577127756387,9.202493648446344,-15.569378383844382,6.718587954766178
