t,Ia_real,Ia_imag,Ib_real,Ib_imag,Ic_real,Ic_imag,Ia_mag,Ia_ang
0.0,4.325618836263771,-8.25516655365075,-9.401274448816995e-16,1.791067181031302e-15,-9.401274448816995e-16,1.791067181031302e-15,9.319804351227226,-62.345943107747665
5e-05,4.379733775445941,-8.254145368825396,-9.566023146279907e-16,1.7907562893027186e-15,-9.566023146279907e-16,1.7907562893027186e-15,9.344141678799808,-62.049122122578794
0.0001,4.437009650155547,-8.251982931223,-9.695128419281746e-16,1.7902688552854777e-15,-9.695128419281746e-16,1.7902688552854777e-15,9.369219654419956,-61.733519874797416
0.00015000000000000001,4.480317061503368,-8.249528881765853,-9.805531959031723e-16,1.789643244706691e-15,-9.805531959031723e-16,1.789643244706691e-15,9.387649745420156,-61.49362612638463
0.0002,4.515557824536236,-8.246864069320232,-9.83616021678659e-16,1.7894116419959985e-15,-9.83616021678659e-16,1.7894116419959985e-15,9.402182163975311,-61.29715832287757
0.00025,4.556961278160456,-8.242946349618073,-9.904381798748836e-16,1.7887661088040297e-15,-9.904381798748836e-16,1.7887661088040297e-15,9.418708011895031,-61.06479540954471
0.00030000000000000003,4.5974284052023915,-8.238345370908036,-1.0009700204656995e-15,1.78756867330816e-15,-1.0009700204656995e-15,1.78756867330816e-15,9.434335291440709,-60.836193390114666
0.00035,4.6311257864002275,-8.233868592921134,-1.0056893368193719e-15,1.786941700801267e-15,-1.0056893368193719e-15,1.786941700801267e-15,9.446899917695443,-60.64449463570776
0.0004,4.668060892927699,-8.228250600994173,-1.0153030893460726e-15,1.785479406817015e-15,-1.0153030893460726e-15,1.785479406817015e-15,9.460174440930881,-60.432839590055444
0.00045000000000000004,4.7037215372158085,-8.222135969447923,-1.0260898190910016e-15,1.7836298362527164e-15,-1.0260898190910016e-15,1.7836298362527164e-15,9.47251372127574,-60.22697950612064
0.0005,4.730937819420797,-8.216938863605444,-1.026835992064912e-15,1.783487350225676e-15,-1.026835992064912e-15,1.783487350225676e-15,9.481553508758758,-60.06862945504317
0.00055,4.7610983601516645,-8.210587498311503,-1.0314312154496658e-15,1.7825196639171232e-15,-1.0314312154496658e-15,1.7825196639171232e-15,9.491143485506266,-59.8917101910707
0.0006000000000000001,4.795582493521493,-8.202643340493113,-1.0431431506615877e-15,1.7798215690952388e-15,-1.0431431506615877e-15,1.7798215690952388e-15,9.501629819326043,-59.687792460760825
0.0006500000000000001,4.823684222889458,-8.195608625942375,-1.049270767426646e-15,1.7782876409069033e-15,-1.049270767426646e-15,1.7782876409069033e-15,9.509780766756599,-59.52023653058522
0.0007,4.849238093410802,-8.18869684864138,-1.0580329008618779e-15,1.775917670575584e-15,-1.0580329008618779e-15,1.775917670575584e-15,9.516820170915055,-59.36654307993863
0.00075,4.878164977190886,-8.180283933183906,-1.0654997130276224e-15,1.7737460692387522e-15,-1.0654997130276224e-15,1.7737460692387522e-15,9.524365531215112,-59.19102417361131
0.0008,4.900306595049854,-8.173388732930642,-1.0698624957341701e-15,1.772387439502898e-15,-1.0698624957341701e-15,1.772387439502898e-15,9.529810496808771,-59.05545610201791
0.0008500000000000001,4.913236685110612,-8.169092883138983,-1.0712124342473431e-15,1.7719389404550705e-15,-1.0712124342473431e-15,1.7719389404550705e-15,9.532784129375253,-58.97552595044996
0.0009000000000000001,4.927761529471105,-8.163960929148347,-1.0734007913398906e-15,1.771165744706097e-15,-1.0734007913398906e-15,1.771165744706097e-15,9.535884423796052,-58.8848462182058
0.00095,4.945024099054008,-8.157492793311878,-1.079126090180453e-15,1.7690205246432728e-15,-1.079126090180453e-15,1.7690205246432728e-15,9.539284669887994,-58.776003134330935
0.001,4.954580451005781,-8.15370499370797,-1.0826025649896531e-15,1.7676425731015417e-15,-1.0826025649896531e-15,1.7676425731015417e-15,9.541004798757148,-58.715136508777015
0.0010500000000000002,4.9602283764499795,-8.151342102273041,-1.0818815158147275e-15,1.7679442344702035e-15,-1.0818815158147275e-15,1.7679442344702035e-15,9.541920331611907,-58.678786056223146
0.0011,4.964232597455076,-8.149577383969595,-1.0803129724468304e-15,1.7686355142940573e-15,-1.0803129724468304e-15,1.7686355142940573e-15,9.54249531406457,-58.652739296180194
0.00115,4.962774290778703,-8.150253220746366,-1.0768512523724387e-15,1.7702398117817283e-15,-1.0768512523724387e-15,1.7702398117817283e-15,9.542313986843054,-58.662328451988174
