Barra,Cenario,I0,I1,I2
800,"MRN
com_terra",85.51815151049341,84.5388263453035,85.49124461846027
800,"MRN
sem_terra",9.004297352619012e-16,3.0852326163878976,1.03671015541045
818,"MRN
com_terra",78.9214566440963,78.92145800761848,78.92145800761848
818,"MRN
sem_terra",1.0205748792250304,1.0205748560885348,1.0205748560885348
820,"MRN
com_terra",78.18377333348342,78.18377469728203,78.18377469728203
820,"MRN
sem_terra",0.5473489886503853,0.5473489655294295,0.5473489655294295
822,"MRN
com_terra",76.57819777326685,76.57819913806571,76.57819913806571
822,"MRN
sem_terra",0.20282809260480936,0.20282807047038393,0.20282807047038393
T2F1,"MRN
com_terra",0.0,0.0,0.0
T2F1,"MRN
sem_terra",0.0,0.0,0.0
T2F,"MRN
com_terra",0.0,0.0,0.0
T2F,"MRN
sem_terra",0.0,0.0,0.0
