Barra,Topo,Terra,V1,V3,V3_V1_pct
800,MRN,com_terra,19348.200496723086,40.84809879182617,0.21112091948160458
800,MRN,sem_terra,81.62842590066218,222.96690877892706,273.14860763120305
818,MRN,com_terra,11712.254284517354,128.80460437745614,1.09974221228893
818,MRN,sem_terra,67.34616691598437,197.82174721901129,293.7386881510238
820,MRN,com_terra,9607.367416380674,127.83725784280406,1.3306169349247543
820,MRN,sem_terra,89.40981321649265,186.09813562942122,208.14061559306927
822,MRN,com_terra,9035.992716620105,127.9976825484623,1.4165314931367006
822,MRN,sem_terra,94.13451924724131,182.16469504297254,193.51529757593255
T2F1,MRN,com_terra,0.0,0.0,0.0
T2F1,MRN,sem_terra,0.0,0.0,0.0
T2F,MRN,com_terra,0.0,0.0,0.0
T2F,MRN,sem_terra,0.0,0.0,0.0
