tempo_s,V_RMS_A,V_RMS_B,V_RMS_C,I_RMS_A,I_RMS_B,I_RMS_C
0.0,14674.479903776999,14257.42367051857,14173.153626996223,21.79313915381952,23.650781034034505,17.593378257031347
5e-05,14674.34745358219,14259.966980077335,14172.588608333659,21.79061291201048,23.65066932716086,17.59636123090564
0.0001,14674.15752819239,14263.011524364636,14170.638542082737,21.78560870552422,23.65044653583594,17.602378790950787
0.00015000000000000001,14673.883607355923,14268.872949390965,14167.575429197044,21.778052220269167,23.650113549803752,17.611354619180037
0.0002,14673.459018667441,14275.646597049317,14163.184459602024,21.767940559765723,23.6496738428677,17.623244346979686
0.00025,14673.029158919077,14283.129180840573,14156.727666724393,21.755304660159112,23.649125314877196,17.638073502247643
0.00030000000000000003,14672.50602280788,14292.418082197755,14148.459416262762,21.74009879656148,23.648469132143884,17.655750002138078
0.00035,14671.786881383954,14302.356550689896,14138.787464065243,21.722366273498476,23.647706301233864,17.676239932814692
0.0004,14671.032870529227,14313.161128562315,14126.344488204852,21.702170211053954,23.646831657915914,17.69957696310624
0.00045000000000000004,14670.07626649105,14326.139237154623,14113.306902528457,21.67951377039027,23.645850517527737,17.72565839091568
0.0005,14669.00928047695,14339.79608980124,14099.265565314705,21.654447355887037,23.64476111092941,17.75444393225562
0.00055,14667.78287619336,14356.216988817903,14083.66073182678,21.62704011214341,23.643566721944584,17.785972634235762
0.0006000000000000001,14666.483000089158,14373.399026409572,14067.698866309636,21.59729999817342,23.642276314039353,17.82012039753784
0.0006500000000000001,14665.208804580214,14393.093796590114,14051.588033086713,21.565235772389766,23.64089051344013,17.856829068394102
0.0007,14663.75813650082,14413.93601628465,14033.355269088259,21.530892841034284,23.639418195328425,17.896082150516698
0.00075,14662.468099494305,14435.8537153561,14015.329122254367,21.49426155510926,23.637862237295185,17.937728788715763
0.0008,14661.173799451368,14459.030773337774,13995.234817908151,21.455344239165537,23.636219757453322,17.981694511308387
0.0008500000000000001,14659.487417045573,14483.335640368276,13973.265826999908,21.41422926331055,23.63449976464767,18.027946129398497
0.0009000000000000001,14658.171352567084,14506.912936023926,13950.069490764985,21.37092761573555,23.632689786457213,18.07631182241834
0.00095,14656.449963805568,14533.426364639885,13925.44970738299,21.32548123091767,23.630793168234856,18.12672560401148
0.001,14654.312396980602,14559.00571469088,13898.35966802921,21.27802808715576,23.62881529979964,18.179153683568146
0.0010500000000000002,14652.56726086718,14586.545291798358,13871.455932504443,21.2286007530614,23.626748949866478,18.233463343362967
0.0011,14650.194521860027,14615.283078913732,13842.74933522521,21.177261084784192,23.6246119146345,18.289579823752824
0.00115,14647.812702127212,14645.1321489079,13814.009676234216,21.124122305222663,23.622409066238067,18.347465405052237
0.0012000000000000001,14645.978265853244,14675.929692334683,13784.923036122476,21.069174316055435,23.62014201380456,18.40697527825371
0.00125,14643.452916911174,14709.074650409115,13755.632221292823,21.012471309818668,23.617837954353536,18.468030845494166
0.0013000000000000002,14641.422273733931,14741.171814673735,13724.766165908328,20.954095820554375,23.61548582484152,18.530561824607872
0.00135,14639.673584022943,14775.689958368937,13694.53416488577,20.894036945210473,23.613092675107133,18.594405546324435
0.0014,14637.372957040647,14809.25676950728,13662.288117669359,20.832360939848993,23.610666522390538,18.65944042105267
0.0014500000000000001,14635.415074634258,14844.092276768308,13628.96916276217,20.769175821969668,23.60818931296961,18.725606644246486
0.0015,14633.20863141832,14878.309652243684,13594.32404715363,20.704541569450825,23.605673069665286,18.792735996679728
0.0015500000000000002,14630.56767817557,14913.604113719712,13559.082942887304,20.638566901286428,23.603115664420308,18.860728130713017
0.0016,14628.08101640357,14948.53217582795,13521.500029712115,20.571377010368785,23.60050866754833,18.929522231171436
0.00165,14625.242209737988,14984.887798322694,13485.171794176553,20.50305318348959,23.597879811584942,18.99897915331534
0.0017000000000000001,14622.4796397142,15020.857943303268,13447.402487413872,20.433678149906335,23.595226272980433,19.069014757142014
0.00175,14619.598365891625,15058.91626104996,13409.646894573127,20.36336595144745,23.592565734481038,19.139591652285343
0.0018000000000000002,14617.108068846208,15095.446354421048,13372.52466668473,20.292158826316037,23.58991176184773,19.210545577456475
