barra,i_max_A,i_max_B,i_max_C,i_media_A,i_media_B,i_media_C,v_max_A,v_max_B,v_max_C
800,75.69,72.01,72.41,49.91,51.99,50.53,29389.02,26200.12,29119.72
818,139.94,126.39,128.93,88.41,91.27,92.6,13823.0,15450.88,13714.56
820,8.85,8.88,10.03,6.4,6.51,6.57,13292.94,15152.0,13306.16
822,8.85,8.87,10.03,6.4,6.5,6.56,13217.58,15109.43,13248.22
T2F,76.43,72.53,72.54,50.38,52.58,51.09,28739.34,25662.83,25581.63
T2F1,141.97,128.08,130.5,90.38,93.15,94.4,13846.8,15717.02,13848.66
800,84.36,78.32,76.79,56.23,56.33,53.5,29374.83,26137.16,29128.68
818,145.16,134.45,131.84,91.65,96.66,94.55,14744.51,16044.03,14231.06
820,9.45,9.42,9.16,6.67,6.89,6.7,14173.54,15676.09,13804.12
822,9.44,9.41,9.15,6.67,6.89,6.7,14092.36,15623.72,13743.54
T2F,80.38,75.77,74.09,53.3,54.72,52.01,30297.15,26353.64,26881.53
T2F1,147.28,136.26,133.45,93.71,98.66,96.38,14770.13,16265.98,14368.78
