tempo_s,V_RMS_A,V_RMS_B,V_RMS_C,I_RMS_A,I_RMS_B,I_RMS_C
0.0,13292.911802640905,13353.402136326706,13295.568194972615,8.846531903446765,8.87695770788741,8.860492158502423
5e-05,13292.801399388536,13354.76599323753,13294.332328560913,8.845684068851376,8.876919687900923,8.861381615356501
0.0001,13292.58074727901,13357.491348615638,13291.862012734544,8.843989361058735,8.876843701508054,8.863158997753136
0.00015000000000000001,13292.25015452697,13361.573488027383,13288.160075046018,8.841449702545418,8.876729855777775,8.8658212470913
0.0002,13291.810082792768,13367.005357253407,13283.230751155625,8.838067976157424,8.876578311086606,8.869363785587058
0.00025,13291.261147407142,13373.777589544563,13277.079686186229,8.833848023935827,8.876389280863922,8.873780528469334
0.00030000000000000003,13290.604116314742,13381.878533075602,13269.713932327208,8.828794645604452,8.876163031285575,8.879063900129943
0.00035,13289.839907249961,13391.29427989502,13261.141943087157,8.822913596922314,8.8758998809248,8.885204854083307
0.0004,13288.969586783258,13402.008701584808,13251.373568716721,8.816211587775047,8.875600200355235,8.892192896710402
0.00045000000000000004,13287.994371260596,13414.0034900576,13240.420053776284,8.808696279738731,8.875264411687697,8.900016114736106
0.0005,13286.915624363119,13427.25820277321,13228.294035815157,8.800376283218693,8.87489298802323,8.908661206211793
0.00055,13285.734852291318,13441.750313413033,13215.009542430542,8.791261154375434,8.874486452820074,8.918113514735325
0.0006000000000000001,13284.453703252484,13457.455266385212,13200.581984239598,8.781361391632862,8.874045379165707,8.928357066766063
0.0006500000000000001,13283.0739689425,13474.346537026317,13185.028146231209,8.770688431488104,8.873570388934263,8.939374611919323
0.0007,13281.597581260181,13492.395702304137,13168.366182172254,8.7592546437498,8.873062151849652,8.951147666001775
0.00075,13280.026606866782,13511.572517748846,13150.615609488204,8.747073326392501,8.872521384511355,8.963656556494128
0.0008,13278.363244916985,13531.844992142744,13131.797297795236,8.734158699923643,8.871948849399443,8.976880470273654
0.0008500000000000001,13276.609825977606,13553.179463408647,13111.933453570004,8.720525901133506,8.871345353837489,8.990797503435612
0.0009000000000000001,13274.768809105195,13575.540682312127,13091.047610008722,8.7061909762499,8.870711748923807,9.005384713017976
0.00095,13272.842776631656,13598.8918971202,13069.164619675146,8.691170873537304,8.870048928447435,9.02061817034759
0.001,13270.83442790371,13623.194932567998,13046.310641450818,8.67548343533907,8.869357827750344,9.036473015732126
0.0010500000000000002,13268.746576292704,13648.410270645229,13022.513124320503,8.659147389460427,8.86863942248471,9.052923514308075
0.0011,13266.582150493778,13674.49713805136,12997.800794038129,8.642182339677085,8.867894727252105,9.069943112878102
0.00115,13264.344191067747,13701.413594298974,12972.203639684589,8.624608755311344,8.86712479412998,9.087504497471649
0.0012000000000000001,13262.035840204966,13729.11661972668,12945.752897548471,8.606447960029362,8.866330711111122,9.105579651317687
0.00125,13259.660337930192,13757.562207708173,12918.481032906737,8.587722119800464,8.865513600500112,9.124139913046506
0.0013000000000000002,13257.22102622729,13786.705457881239,12890.42171800428,8.568454229728163,8.864674617278563,9.143156035015927
0.00135,13254.72134399609,13816.500667316066,12861.609807657576,8.548668099758775,8.863814947447313,9.16259824155333
0.0014,13252.16481283726,13846.90142255766,12832.081317515731,8.528388339510313,8.86293580641094,9.182436286865135
0.0014500000000000001,13249.55503155921,13877.860690324133,12801.873401388646,8.507640342131666,8.862038437427131,9.202639512483083
0.0015,13246.89567880853,13909.330902287842,12771.024321753845,8.486450266877824,8.861124110020867,9.223176904166543
0.0015500000000000002,13244.190507796018,13941.264037876885,12739.573417842981,8.464845020369866,8.860194118290488,9.244017148114464
