frequencia_Hz,magnitude_fase_A,magnitude_fase_B,magnitude_fase_C
0.0,0.024383407428327585,0.00396641019634406,0.028349817624674332
29.98500749625187,91.52338766824363,94.01030695562126,94.23254609303635
59.97001499250374,183.04897415397022,187.81409673186548,188.5263838009896
89.95502248875562,91.86226850618476,94.2765087967078,94.60461384154526
119.94002998500748,0.12510137655303652,0.11911113064358493,0.1313390956754247
149.92503748125935,0.043999714468773946,0.038138066743523866,0.04710701939819134
179.91004497751123,0.02297631466508036,0.01806834155300235,0.025000085563899682
209.8950524737631,0.01430509652480481,0.01023271873513797,0.01576281230617682
239.88005997001497,0.009847962006283437,0.006440194039761752,0.010957444793701053
269.86506746626685,0.007235067802683457,0.0043511187856518805,0.008110800271367815
299.8500749625187,0.005562656062110859,0.003094879296864679,0.0062725319306392606
329.83508245877056,0.004422710504908401,0.0022895487782040413,0.005010169375040757
359.82008995502247,0.0036081201934932304,0.0017473418483713824,0.004102465344510881
389.8050974512743,0.0030042368400226742,0.0013677975489827909,0.003426034961043194
419.7901049475262,0.002543207158427906,0.0010935423921480344,0.0029073514596326807
449.7751124437781,0.002182678485173739,0.000890051396900274,0.0025002328410999378
479.76011994002994,0.0018950438764937343,0.0007356379751325523,0.002174405439697189
509.7451274362818,0.001661648513550918,0.0006161816048204457,0.0019093083281362404
539.7301349325337,0.001469498124843923,0.0005222027866690368,0.001690554240330017
569.7151424287855,0.0013093033823362897,0.0004471676868954339,0.001507816112913589
599.7001499250374,0.0011742728893116788,0.00038646806218607926,0.0013535163533418808
629.6851574212893,0.0010593433011341887,0.0003367872936929854,0.001221987044615056
659.6701649175411,0.0009606739908426486,0.00029569505922126364,0.0011089164200069406
689.655172413793,0.0008753068939020675,0.0002613816158435464,0.0010109748306457347
719.6401799100449,0.0008009323707660762,0.000232479681503659,0.0009255563726530636
749.6251874062967,0.0007357248025898911,0.00020794262591765714,0.0008505968691497056
779.6101949025486,0.0006782250692153071,0.000186959654872628,0.0007844433634217747
809.5952023988006,0.0006272551740430286,0.0001688957794109194,0.0007257590465578154
839.5802098950523,0.0005818553081395755,0.0001532486890382874,0.0006734529924983894
869.5652173913043,0.0005412368332390839,0.00013961734327950584,0.0006266275415901085
899.5502248875562,0.0005047467258823485,0.00012767880907255404,0.000584538423008471
929.535232383808,0.00047184038630372464,0.00011717097972977691,0.0005465641970207201
959.5202398800599,0.000442060628118657,0.00010787954361706625,0.0005121825992310823
989.5052473763118,0.00041502128828081053,9.962805901774287e-05,0.0004809520548754584
1019.4902548725636,0.0003903943277944147,9.227032429857168e-05,0.0004524971069178896
1049.4752623688155,0.0003678995954416979,8.568446182101566e-05,0.0004264968351838158
1079.4602698650674,0.0003472966426101638,7.976829330831862e-05,0.00040267558335343605
1109.4452773613193,0.00032837813080201575,7.443569707054385e-05,0.0003807954806095275
1139.430284857571,0.0003109644862616884,6.961371823676581e-05,0.00036065037080133046
1169.415292353823,0.00029489953845778617,6.52402608416014e-05,0.00034206085334743887
1199.4002998500748,0.00028004693998707065,6.126223273867574e-05,0.00032487020858135515
1229.3853073463267,0.00026628721166139645,5.763404568658904e-05,0.00030894103111515843
1259.3703148425786,0.00025351529041006926,5.431639562853427e-05,0.0002941524338367596
1289.3553223388305,0.00024163848462251973,5.127526543874847e-05,0.00028039771416985085
1319.3403298350822,0.000230574760840787,4.84811054420953e-05,0.0002675823972558909
1349.3253373313341,0.00022025130179629488,4.590815664485575e-05,0.0002556225876735021
1379.310344827586,0.0002106032877757318,4.3533889356364166e-05,0.00024444357536753384
1409.295352323838,0.00020157286216555896,4.1338535315093166e-05,0.00023397865177443756
1439.2803598200899,0.00019310825047989447,3.930469617380426e-05,0.00022416810061111418
1469.2653673163418,0.0001851630068349294,3.741701460058125e-05,0.00021495833442336713
1499.2503748125935,0.00017769536748578476,3.5661896823606985e-05,0.000206301153318702
1529.2353823088454,0.0001706676943127417,3.4027277746201565e-05,0.00019815310638371102
1559.2203898050973,0.00016404599399070654,3.250242139444788e-05,0.00019047493995891454
1589.2053973013492,0.00015779950162267411,3.1077750854143734e-05,0.00018323111931049685
1619.190404797601,0.00015190031880841395,2.9744702710541254e-05,0.00017638941288031416
1649.175412293853,0.00014632309831756946,2.8495602306060798e-05,0.0001699205299412698
1679.1604197901047,0.00014104476861626444,2.73235562609659e-05,0.00016379780369196276
1709.1454272863566,0.00013604429252842318,2.622235983136783e-05,0.00015799691377072408
1739.1304347826085,0.00013130245521291649,2.5186416606075984e-05,0.00015249564226233554
1769.1154422788604,0.0001268016777340139,2.421066894532706e-05,0.0001472736590383079
1799.1004497751123,0.0001225258522676217,2.3290537341413588e-05,0.00014231233209712567
1829.0854572713642,0.00011846019669907139,2.242186761965954e-05,0.0001375945599887612
1859.070464767616,0.00011459112541014547,2.1600884726453313e-05,0.00013310462305083414
1889.0554722638678,0.00011090613488048307,2.082415214530633e-05,0.0001288280514510534
1919.0404797601198,0.00010739370154407074,2.0088536504857557e-05,0.0001247515075305817
1949.0254872563717,0.00010404319120158723,1.939117601667721e-05,0.00012086268130801858
1979.0104947526236,0.00010084477725890787,1.8729453036721808e-05,0.00011715019610985928
