frequencia_Hz,magnitude_fase_A,magnitude_fase_B,magnitude_fase_C
0.0,0.00675162669068772,0.010832840082769678,0.017269288832116293
29.98500749625187,54.995588935773874,53.95217455893063,52.56974346137866
59.97001499250374,109.89383620321112,107.85256876802781,105.20301206922443
89.95502248875562,55.16052036739394,54.131122226941905,52.788817209599806
119.94002998500748,0.07076761411010966,0.07140844819820026,0.074507751421406
149.92503748125935,0.02316075761688277,0.0242264053542117,0.02714541686443317
179.91004497751123,0.011263924263291033,0.012239466547623316,0.014582325864714297
209.8950524737631,0.006568322456662258,0.007408220874560135,0.009277564495315003
239.88005997001497,0.004265410662034078,0.004982042301400522,0.006492484507976682
269.86506746626685,0.0029774059846512787,0.0035906582297583513,0.004829938076893968
299.8500749625187,0.0021895909611168263,0.0027176929060112073,0.003749555384833586
329.83508245877056,0.0016750971374959135,0.0021331355039423488,0.0030038316031649756
359.82008995502247,0.0013217651882815758,0.0017218817027036528,0.0024653671995291063
389.8050974512743,0.0010692171413587974,0.0014211259270626782,0.0020627144227157892
419.7901049475262,0.0008827290678420876,0.0011942194348507711,0.0017530814278324499
449.7751124437781,0.0007412430462810856,0.001018595439497276,0.0015094700698855329
479.76011994002994,0.0006314189051277076,0.0008797318617352624,0.0013141120475796077
509.7451274362818,0.0005444901909517178,0.0007679328929840271,0.0011548974807918434
539.7301349325337,0.00047451311751260466,0.0006765196636446687,0.0010233265106120877
569.7151424287855,0.0004173473557758715,0.0006007664738356398,0.0009132814249576552
599.7001499250374,0.00037003996170571003,0.0005372509228208092,0.0008202625083681839
629.6851574212893,0.00033044058235205,0.00048344348911529277,0.0007408968891826012
659.6701649175411,0.0002969541109557778,0.00043744069410076844,0.0006726138707531214
689.655172413793,0.0002683775995152612,0.00039778711212879787,0.0006134249624117955
719.6401799100449,0.00024379025951827647,0.00036335390916673844,0.0005617715625858425
749.6251874062967,0.00022247774264689185,0.0003332542494955791,0.0005164174184751882
779.6101949025486,0.00020387905010303274,0.0003067832894926322,0.00047637136442968577
809.5952023988006,0.0001875486802087287,0.0002833749001334632,0.000440830934668763
839.5802098950523,0.00017312922578953039,0.00026256998060630973,0.0004091406190803344
869.5652173913043,0.00016033125703878402,0.00024399293744199654,0.000380760556012124
899.5502248875562,0.00014891836164966348,0.0002273340034142089,0.00035524277114732294
929.535232383808,0.00013869588764337985,0.00021233579186437409,0.00033221294623187494
959.5202398800599,0.00012950237827341748,0.00019878296174378294,0.0003113562886952013
989.5052473763118,0.0001212029889848601,0.0001864941952619843,0.00029240647745614655
1019.4902548725636,0.00011368437922403334,0.00017531591303285592,0.0002751369402543871
1049.4752623688155,0.0001068507134291566,0.00016511730840290713,0.000259353915091298
1079.4602698650674,0.00010062050442034213,0.0001557863930286483,0.00024489088932555276
1109.4452773613193,9.49241023416124e-05,0.00014722682370570678,0.00023160411166247685
1139.430284857571,8.97016824779583e-05,0.00013935533905108142,0.0002193689459613722
1169.415292353823,8.490162178637624e-05,0.00013209967481079196,0.0002080768907600973
1199.4002998500748,8.047918066512759e-05,0.0001253968580761952,0.00019763312881499256
1229.3853073463267,7.63954259273433e-05,0.00011919180371336897,0.00018795450115266488
1259.3703148425786,7.261634576328675e-05,0.00011343615270824828,0.00017896782362514436
1289.3553223388305,6.911211871933399e-05,0.00010808730625676945,0.0001706084810272163
1319.3403298350822,6.585650662029698e-05,0.00010310761838084498,0.00016281924757663538
1349.3253373313341,6.282634725412327e-05,9.846371745900854e-05,0.00015554929361548766
1379.310344827586,6.000113091018082e-05,9.412593568803306e-05,0.00014875334350784086
1409.295352323838,5.736264131185869e-05,9.006782360435651e-05,0.00014239096229018658
1439.2803598200899,5.489465386317168e-05,8.626573903917431e-05,0.00013642594598078887
1469.2653673163418,5.258267878220163e-05,8.269849590097183e-05,0.00013082579986923483
1499.2503748125935,5.041374204654251e-05,7.934706289355321e-05,0.0001255612910824434
1529.2353823088454,4.837619837127807e-05,7.619430508728701e-05,0.00012060606241569494
1559.2203898050973,4.6459570306242746e-05,7.322476084797432e-05,0.00011593629893900445
1589.2053973013492,4.465441003984059e-05,7.042444884397033e-05,0.00011153043865841027
1619.190404797601,4.295217968474437e-05,6.77807007110494e-05,0.00010736892115072401
1649.175412293853,4.1345147699474794e-05,6.528201540471048e-05,0.00010343396827245466
1679.1604197901047,3.98262988196193e-05,6.29179320600518e-05,9.970939242389137e-05
1709.1454272863566,3.838925553253848e-05,6.067891866743579e-05,9.618042852686261e-05
1739.1304347826085,3.7028209465761974e-05,5.8556274936726854e-05,9.283358642711216e-05
1769.1154422788604,3.5737861238150186e-05,5.65420459415714e-05,8.965652080352307e-05
1799.1004497751123,3.451336772324118e-05,5.46289470728036e-05,8.663791632831764e-05
1829.0854572713642,3.335029536308988e-05,5.2810296931288576e-05,8.376738614165512e-05
1859.070464767616,3.22445793124047e-05,5.107995820540093e-05,8.103538177485773e-05
1889.0554722638678,3.119248694387883e-05,4.9432285510284553e-05,7.843311310236435e-05
1919.0404797601198,3.019058590840051e-05,4.786207835004391e-05,7.595247730653961e-05
1949.0254872563717,2.923571494442311e-05,4.63645396601251e-05,7.358599452104576e-05
1979.0104947526236,2.832495935286214e-05,4.4935239267512645e-05,7.132675268010679e-05
