t,Ia_real,Ia_imag,Ib_real,Ib_imag,Ic_real,Ic_imag,Ia_mag,Ia_ang
0.0,1.7553354639095426,-3.244711550327407,-6.780629144346212e-16,1.3210643985748003e-15,-6.780629144346212e-16,1.3210643985748003e-15,3.6890860163035795,-61.58734255701255
5e-05,1.7752403118206634,-3.2443359326339394,-6.816083203261983e-16,1.3209974944120882e-15,-6.816083203261983e-16,1.3209974944120882e-15,3.6982690286798845,-61.31334097128305
0.0001,1.7943750363157962,-3.2436135054694555,-6.88465941926877e-16,1.3207385864706993e-15,-6.88465941926877e-16,1.3207385864706993e-15,3.7068599034515946,-61.048522617480266
0.00015000000000000001,1.812733654911649,-3.242573199512645,-7.012067560156332e-16,1.3200166179455657e-15,-7.012067560156332e-16,1.3200166179455657e-15,3.7148733838244095,-60.7929889825795
0.0002,1.8302912238995983,-3.2412455430055966,-7.072116865446944e-16,1.319562541125662e-15,-7.072116865446944e-16,1.319562541125662e-15,3.7223162996093624,-60.54712074060727
0.00025,1.8470525686679138,-3.2396595339922083,-7.135413229806372e-16,1.318963611828661e-15,-7.135413229806372e-16,1.318963611828661e-15,3.729208640933,-60.310898171005924
0.00030000000000000003,1.8630029366903111,-3.2378460298209744,-7.205877527392731e-16,1.3181624560345351e-15,-7.205877527392731e-16,1.3181624560345351e-15,3.7355624549650046,-60.08459090613532
0.00035,1.8781308616630672,-3.235836248671873,-7.224720562048236e-16,1.3179121217956312e-15,-7.224720562048236e-16,1.3179121217956312e-15,3.7413916878282216,-59.86843838895227
0.0004,1.8924303772222906,-3.233661229549851,-7.317481928172212e-16,1.3165011806748013e-15,-7.317481928172212e-16,1.3165011806748013e-15,3.7467129166947863,-59.66261723882185
0.00045000000000000004,1.9059079663210028,-3.2313502648122387,-7.417500159597539e-16,1.3147861958637241e-15,-7.417500159597539e-16,1.3147861958637241e-15,3.7515476419723086,-59.467138657608935
0.0005,1.91854169031937,-3.228937782449303,-7.386068560493954e-16,1.3153864003520135e-15,-7.386068560493954e-16,1.3153864003520135e-15,3.7559075361917693,-59.282439946109335
0.00055,1.9303235972245711,-3.226456686527256,-7.39005756488095e-16,1.3153023977996487e-15,-7.39005756488095e-16,1.3153023977996487e-15,3.759810093613565,-59.10877265617254
0.0006000000000000001,1.9412602480028966,-3.223937195059807,-7.492621169318991e-16,1.3129396257637655e-15,-7.492621169318991e-16,1.3129396257637655e-15,3.76327814387488,-58.94618887186242
0.0006500000000000001,1.9513588299171791,-3.2214092139450496,-7.538396613514159e-16,1.3117937276621581e-15,-7.538396613514159e-16,1.3117937276621581e-15,3.766334903694281,-58.7947422060777
0.0007,1.9606065060536715,-3.218907914662273,-7.571801880833806e-16,1.3108901863837414e-15,-7.571801880833806e-16,1.3108901863837414e-15,3.768998014679155,-58.65479938628583
0.00075,1.9690005277796003,-3.2164666494480434,-7.571579769519112e-16,1.3108966461314516e-15,-7.571579769519112e-16,1.3108966461314516e-15,3.771289008470163,-58.52659126005387
0.0008,1.976555051673096,-3.214114068196055,-7.569351321782084e-16,1.3109660430178874e-15,-7.569351321782084e-16,1.3109660430178874e-15,3.7732345693940403,-58.410102405093674
0.0008500000000000001,1.9832610045353745,-3.211886104889462,-7.589891781362674e-16,1.3102836136721112e-15,-7.589891781362674e-16,1.3102836136721112e-15,3.7748558333918742,-58.30568576532085
0.0009000000000000001,1.9891393773783013,-3.2098091436345957,-7.646379360047665e-16,1.3082877805488163e-15,-7.646379360047665e-16,1.3082877805488163e-15,3.7761819608166647,-58.21323851874416
0.00095,1.9942021757400772,-3.2079121567833986,-7.707761347992649e-16,1.305987850436824e-15,-7.707761347992649e-16,1.305987850436824e-15,3.7772400934233943,-58.13280337519963
0.001,1.9984498412037337,-3.2062285325675948,-7.696394781654834e-16,1.3064383808870353e-15,-7.696394781654834e-16,1.3064383808870353e-15,3.778055474825347,-58.06461502244386
0.0010500000000000002,2.0018796247307202,-3.204793632939464,-7.660535196459827e-16,1.3079386185858987e-15,-7.660535196459827e-16,1.3079386185858987e-15,3.7786537631332853,-58.00897164450586
0.0011,2.0045134448578317,-3.2036328701892605,-7.695139708724892e-16,1.3064135475146914e-15,-7.695139708724892e-16,1.3064135475146914e-15,3.779065720197638,-57.965780242441205
0.00115,2.0063589656208927,-3.202777583146983,-7.727799205816164e-16,1.3048999777283963e-15,-7.727799205816164e-16,1.3048999777283963e-15,3.779320116904119,-57.935184063512786
0.0012000000000000001,2.007420316514165,-3.202261166652227,-7.702808592427816e-16,1.3061159342089166e-15,-7.702808592427816e-16,1.3061159342089166e-15,3.77944611108595,-57.91739257060323
0.00125,2.007711327757109,-3.2021127160648697,-7.671176360885373e-16,1.307729556866375e-15,-7.671176360885373e-16,1.307729556866375e-15,3.779474913528141,-57.912459337302494
0.0013000000000000002,2.007246946904224,-3.2023607568064154,-7.644220899038485e-16,1.3091693347348377e-15,-7.644220899038485e-16,1.3091693347348377e-15,3.77943841365223,-57.92042135431442
0.00135,2.0060447793797973,-3.203032327877766,-7.670541459525674e-16,1.3076989800092467e-15,-7.670541459525674e-16,1.3076989800092467e-15,3.7793692265121437,-57.941270784882185
0.0014,2.004120023232964,-3.204155725211775,-7.682569914972303e-16,1.306996930827421e-15,-7.682569914972303e-16,1.306996930827421e-15,3.7793003292846006,-57.97504100928837
0.0014500000000000001,2.0015038035456505,-3.205749625064582,-7.662247051328926e-16,1.3082350764436644e-15,-7.662247051328926e-16,1.3082350764436644e-15,3.779265554867693,-58.02148240057533
0.0015,1.9981972163856117,-3.2078506755444574,-7.638323366959718e-16,1.3097552199055334e-15,-7.638323366959718e-16,1.3097552199055334e-15,3.7792986217236444,-58.08087369653649
0.0015500000000000002,1.9942211758099726,-3.2104837082031623,-7.576727059505505e-16,1.313834280118758e-15,-7.576727059505505e-16,1.313834280118758e-15,3.7794343146411262,-58.153140659980984
